material_id,formula,wyckoff,bandgap_pred_n0,bandgap_ale_n0,bandgap_target
wbm-1-15077,Pm1 F3,A3B_pearson_225_ac_b:F-Pm,6.0395,0.1435,5.96
mp-571195,Zn3 Te3,AB_pearson_144_a_a:Te-Zn,0.4268,0.1058,1.0679
wbm-4-27303,Ca2 Er1 P1 O6,A2BC6D_pearson_148_c_a_f_b:Ca-Er-O-P,4.6868,0.071,4.8
mp-541996,Pr8 Si4 Te4 O16,A4B2CD_pearson_14_4e_2e_e_e:O-Pr-Si-Te,1.8589,0.1252,1.7596
wbm-1-15078,Pr1 F3,A3B_pearson_139_ad_b:F-Pr,5.064,0.1309,5.01
wbm-1-50255,Sn1 As2 S6,A2B6C_pearson_146_2a_2b_a:As-S-Sn,1.0003,0.1187,1.04
mp-757371,Li8 Cr8 P8 O36,A2B2C9D2_pearson_62_ac_2c_5c2d_2c:Cr-Li-O-P,1.8948,0.7668,2.3693
wbm-1-44279,Yb4 O4 F4,ABC_pearson_14_e_e_e:F-O-Yb,0.8094,0.7506,3.11
wbm-4-25008,Cs2 K4 Ir2 O4,ABC2D2_pearson_58_a_c_g_g:Cs-Ir-K-O,1.1401,0.0528,0.96
mp-1222274,Li1 Sm1 S2,AB2C_pearson_123_a_bc_d:Li-S-Sm,0.1922,0.0306,0.2829
wbm-1-31951,Sr4 In2 Ge2 N2,ABCD2_pearson_11_e_e_e_2e:Ge-In-N-Sr,0.0716,0.046,0.11
wbm-1-36341,Cs2 Ag2 O4,ABC2_pearson_15_a_e_f:Ag-Cs-O,1.1339,0.0921,1.1
wbm-1-24419,Li5 Ag1 O4,AB5C4_pearson_12_a_d2i_2i:Ag-Li-O,0.8085,0.1453,1.24
wbm-1-18722,Ga1 Ge1 Br3,A3BC_pearson_8_ab_a_a:Br-Ga-Ge,2.0665,0.1223,1.64
wbm-1-6147,Cd3 Br6,A2B_pearson_164_c2d_ad:Br-Cd,2.9227,0.046,2.9
mp-1097277,Y1 Sc1 Cu2,A2BC_pearson_71_e_a_b:Cu-Sc-Y,0.1411,0.0819,0.08
mp-1227304,Ba1 Tb1 Fe2 O5,AB2C5D_pearson_123_a_h_ci_b:Ba-Fe-O-Tb,0.4995,0.1285,0.0874
mp-1194932,Sm12 Se6 O6 F12,A2BCD2_pearson_176_2h_h_h_2h:F-O-Se-Sm,2.699,0.0916,2.7948
mp-28129,Ba8 Sb16 S32,AB4C2_pearson_14_2e_8e_4e:Ba-S-Sb,0.991,0.336,1.4617
wbm-5-6242,Lu1 Al1 F6,AB6C_pearson_148_a_f_b:Al-F-Lu,7.2932,0.1169,7.41
mp-1193274,Cu4 P4 O20,AB5C_pearson_19_a_5a_a:Cu-O-P,0.073,0.0355,0.4008
mp-14092,Al2 Ag2 Te4,ABC2_pearson_122_a_b_d:Ag-Al-Te,1.3468,0.1223,1.6625
wbm-4-28098,Cs1 Np1 As2 O8,A2BCD8_pearson_147_d_a_b_dg:As-Cs-Np-O,0.2525,0.0984,0.06
mp-679929,Li4 Eu12 Si4 Cl12 O16,A3B3CD4E_pearson_53_hi_fgh_ab_2hi_h:Cl-Eu-Li-O-Si,0.2685,0.0893,0.3693
mp-762295,K4 Mn6 V4 H4 O20,A2B2C3D10E2_pearson_12_i_i_ah_3ij_i:H-K-Mn-O-V,2.2668,0.0901,1.9794
mp-756276,Ce2 Hf2 O8,ABC4_pearson_88_a_b_f:Ce-Hf-O,1.7403,0.1065,1.9766
mp-1213549,Hf3 Ni1 O6 F6,A6B3CD6_pearson_2_3i_abc_f_3i:F-Hf-Ni-O,0.4217,0.1783,1.6403
mp-1194764,K8 U6 As4 O32,A2B4C16D3_pearson_14_e_2e_8e_ae:As-K-O-U,2.0353,0.0663,1.8985
wbm-2-49556,Sr2 Te2,AB_pearson_194_a_c:Sr-Te,1.8772,0.049,1.86
wbm-1-46360,Sr2 P1 I1,ABC2_pearson_166_a_b_c:I-P-Sr,1.743,0.0896,1.64
mp-1520675,Ba2 Sr2 Sm2 W2 O12,AB6CDE_pearson_2_i_6i_ah_i_be:Ba-O-Sm-Sr-W,2.0744,0.0907,2.0034
mp-1196282,Cs8 H16 F24,AB3C2_pearson_19_2a_6a_4a:Cs-F-H,5.5308,0.1114,7.0151
wbm-1-10584,Cs2 Hf1 Cl6,A6B2C_pearson_164_i_d_a:Cl-Cs-Hf,4.1166,0.0685,4.21
wbm-1-48686,Ba4 Cd4 S8,ABC2_pearson_26_2a_2b_a3b:Ba-Cd-S,1.6528,0.149,1.4
mp-567543,U2 Hg6 Te4 Cl12,A6B3C2D_pearson_14_3e_ae_e_d:Cl-Hg-Te-U,0.053,0.0292,0.2422
mp-1093927,Ba1 Sr1 Ag2,A2BC_pearson_71_e_a_b:Ag-Ba-Sr,0.0633,0.0278,0.1699
wbm-1-50390,Au6 S3,A2B_pearson_8_b_a:Au-S,0.9714,0.125,1.42
mp-771329,Na6 Cr2 P2 C2 O14,ABC3D7E_pearson_4_a_a_3a_7a_a:C-Cr-Na-O-P,2.3848,0.626,2.5344
mp-1223967,Hg2 I3 Br1,AB2C3_pearson_8_a_2a_3a:Br-Hg-I,2.1778,0.218,2.515
mp-1112074,K2 Dy1 Au1 Cl6,AB6CD2_pearson_225_a_e_b_c:Au-Cl-Dy-K,2.1805,0.0514,2.2181
mp-1209809,Re12 Pb8 S24,A2B3C6_pearson_15_2ef_3f_6f:Pb-Re-S,1.6661,0.0818,0.2053
wbm-3-55704,Yb1 Ce1 Ge2 O7,AB2C7D_pearson_5_a_c_b3c_a:Ce-Ge-O-Yb,1.908,0.0908,2.06
wbm-1-24429,Li5 P1 O5,A5B5C_pearson_5_b2c_a2c_a:Li-O-P,3.9078,1.6888,3.49
wbm-2-28888,La2 Au2 N6,ABC3_pearson_2_i_i_3i:Au-La-N,0.7298,0.183,0.35
mp-5477,Na10 Nb2 O10,A5BC5_pearson_15_e2f_e_e2f:Na-Nb-O,2.7986,0.619,2.6377
mp-27514,Na4 Fe4 Cl16,A4BC_pearson_19_4a_a_a:Cl-Fe-Na,0.3084,0.119,0.2267
wbm-1-15031,Na4 Ag2 F6,AB3C2_pearson_193_a_g_d:Ag-F-Na,1.2484,0.0947,2.13
wbm-4-10299,Rb2 In2 F8,A4BC_pearson_12_gij_e_i:F-In-Rb,3.984,0.2036,4.35
mp-764752,Li2 V4 O2 F14,A7BCD2_pearson_7_7a_a_a_2a:F-Li-O-V,1.8712,0.3005,1.8496
mp-1221446,N8 O4,A2B_pearson_198_2a_a:N-O,2.9123,0.3938,6.2407
wbm-1-56464,Tb1 Sn1 Au1,ABC_pearson_216_c_a_b:Au-Sn-Tb,0.0212,0.0219,0.06
wbm-3-56559,Lu2 Ag2 Te2 O2,ABCD_pearson_129_a_c_b_c:Ag-Lu-O-Te,0.9751,0.0549,0.92
wbm-3-23714,Tm1 V1 F6,A6BC_pearson_225_e_a_b:F-Tm-V,2.2914,0.0413,2.38
wbm-1-57673,Hf4 Te4 I12,AB3C_pearson_13_g_3g_g:Hf-I-Te,1.1408,0.0627,1.05
wbm-3-22610,Cu1 Ru1 F6,AB6C_pearson_148_a_f_b:Cu-F-Ru,0.0524,0.0246,0.14
wbm-4-26382,Ba2 Co1 W1 O6,A2BC6D_pearson_225_c_a_e_b:Ba-Co-O-W,0.7626,0.2041,1.88
wbm-1-4373,Na1 Bi1 B2 O5,A2BCD5_pearson_5_c_b_a_a2c:B-Bi-Na-O,3.0348,0.0761,3.9
wbm-4-32978,Sr2 Tb2 Au2 S6,AB3CD_pearson_63_c_cf_c_a:Au-S-Sr-Tb,1.597,0.035,1.57
wbm-3-51874,U1 Cu2 As2 Se2 O4,A2B2C4D2E_pearson_12_i_h_j_i_a:As-Cu-O-Se-U,0.0279,0.0171,0.05
mp-766524,Ni4 P12 O36,AB9C3_pearson_19_a_9a_3a:Ni-O-P,4.2635,0.4984,1.0511
wbm-2-43303,As4 S4 Cl4,ABC_pearson_14_e_e_e:As-Cl-S,2.5319,0.0817,2.51
wbm-2-45171,Au4 Se4 Br4,ABC_pearson_14_e_e_e:Au-Br-Se,0.8614,0.1199,1.2
mp-1315323,Li6 Ni4 Sn2 O12,A3B2C6D_pearson_2_ad2i_2i_6i_i:Li-Ni-O-Sn,0.564,0.1958,0.3442
mp-23331,Si6 Bi8 O24,A4B12C3_pearson_220_c_e_a:Bi-O-Si,3.8411,0.4767,3.9876
wbm-3-33938,Ba1 In2 Sb2,AB2C2_pearson_166_a_c_c:Ba-In-Sb,0.5015,0.0738,0.24
mp-1219355,Si2 Ag12 Hg2 Se12,A6BC6D_pearson_31_2a2b_a_4ab_a:Ag-Hg-Se-Si,0.026,0.0239,0.1021
mp-20496,Ga4 Pb2 O8,A2B4C_pearson_40_c_abc_b:Ga-O-Pb,2.7672,0.116,3.5212
wbm-2-36118,Sr2 Tm1 Ta1 O6,A6B2CD_pearson_148_f_c_a_b:O-Sr-Ta-Tm,3.7625,0.0443,3.85
wbm-4-26891,Tm2 Mg1 Mo1 O6,ABC6D2_pearson_12_a_d_ij_i:Mg-Mo-O-Tm,1.7711,0.0435,1.78
mp-768163,Li14 Sb4 S4,A7B2C2_pearson_2_7i_2i_2i:Li-S-Sb,0.9304,0.5138,0.8045
mp-17138,K4 Mo4 P4 O24,ABC6D_pearson_70_e_f_3h_g:K-Mo-O-P,2.8836,0.1419,2.8634
wbm-1-4431,Sr1 B2 Pb1 O6,A2B6CD_pearson_148_c_f_a_b:B-O-Pb-Sr,1.8203,0.112,1.83
wbm-3-54574,Sr2 Pr1 P1 O6,A6BCD2_pearson_225_e_a_b_c:O-P-Pr-Sr,4.2205,0.0825,4.19
wbm-1-25886,Ba1 Li1 Sm1 Te1 O6,ABC6DE_pearson_8_a_a_2a2b_a_a:Ba-Li-O-Sm-Te,2.7029,0.21,2.69
wbm-2-10413,Sr2 Cl8,A4B_pearson_13_2g_e:Cl-Sr,0.563,0.2029,1.59
wbm-4-26520,Ba2 Zn1 Cr1 O6,A2BC6D_pearson_225_c_a_e_b:Ba-Cr-O-Zn,0.3566,0.1168,0.7
mp-561222,K4 Hg2 Br4 N4 O24,A2BC2D2E12_pearson_58_g_a_g_g_2g2h:Br-Hg-K-N-O,0.5281,0.0771,1.9283
mp-756575,Mn3 Cr1 O8,AB3C8_pearson_166_a_e_ch:Cr-Mn-O,1.0702,0.1451,0.9076
wbm-2-36219,Ba2 Gd1 V1 O6,A2BC6D_pearson_225_c_a_e_b:Ba-Gd-O-V,1.5343,0.0334,1.59
mp-1029689,Ca8 Mo4 N12,A2BC3_pearson_15_2f_f_2e2f:Ca-Mo-N,1.3615,0.1244,0.0014
mp-1224588,H12 C4 N4 O8,AB3CD2_pearson_4_2a_6a_2a_4a:C-H-N-O,3.5236,0.368,3.0427
mp-753642,Li4 Mn8 O12 F4,ABC2D3_pearson_44_abc_2c_abce_abc2e:F-Li-Mn-O,0.2505,0.1783,0.0041
wbm-4-26174,Ca2 Gd1 Bi1 O6,AB2CD6_pearson_148_a_c_b_f:Bi-Ca-Gd-O,1.6232,0.0491,1.64
mp-20243,Sm4 Fe4 O12,AB3C_pearson_62_a_cd_c:Fe-O-Sm,1.6281,0.1731,1.5407
mp-6960,Rb4 Si2 As4,A2B2C_pearson_72_j_j_a:As-Rb-Si,1.0859,0.0617,1.0756
mp-755747,Li4 Fe2 F8,A4BC2_pearson_63_acf_c_f:F-Fe-Li,3.3195,0.1092,3.6658
mp-754088,Li4 Cr1 Fe3 O8,AB3C4D8_pearson_12_a_be_hi_2ij:Cr-Fe-Li-O,1.7214,0.3344,1.6786
mp-1218976,Sn2 Ge1 Te3,AB2C3_pearson_164_a_d_bd:Ge-Sn-Te,0.2999,0.1404,0.1404
mp-2943,K2 Y6 F20,A10BC3_pearson_225_fh_c_e:F-K-Y,6.7954,0.257,6.9409
wbm-4-16275,Gd1 Mg2 Mn1 H8,AB8C2D_pearson_164_a_di_d_b:Gd-H-Mg-Mn,0.704,0.0809,0.71
wbm-1-30594,Sr2 Th2 N4,A2BC_pearson_46_2b_b_b:N-Sr-Th,0.7426,0.1372,1.15
mp-1176296,Li9 Mn2 Co5 O16,A5B9C2D16_pearson_12_aj_d2ij_bc_4i2j:Co-Li-Mn-O,0.5591,0.4745,1.2744
mp-1193611,Ba4 Te4 S12 O8,AB2C3D_pearson_57_c_e_de_d:Ba-O-S-Te,2.4541,0.0929,0.6401
mp-625557,Cd1 H2 O2,AB2C2_pearson_156_c_ab_ab:Cd-H-O,1.386,0.0727,1.2645
wbm-2-907,Al4 S6,A2B3_pearson_36_2a_3a:Al-S,3.0082,0.1601,3.03
mp-735521,Mn4 H24 O12 F12,A3B6CD3_pearson_14_3e_6e_ad_3e:F-H-Mn-O,2.3186,0.1862,1.5097
mp-775979,Li8 Fe4 O8 F4,ABC2D2_pearson_15_f_2e_cef_2f:F-Fe-Li-O,0.1087,0.1399,2.3497
wbm-2-35440,Ba2 Np1 Cd1 O6,A2BCD6_pearson_225_c_a_b_e:Ba-Cd-Np-O,1.1664,0.0826,1.01
wbm-1-3478,Sr3 As1 Br3,AB3C3_pearson_221_a_c_d:As-Br-Sr,1.7577,0.1049,1.54
mp-546142,Na2 U1 O4,A2B4C_pearson_65_f_gj_a:Na-O-U,0.2306,0.1646,2.0783
mp-1189645,Tb7 Rh1 Br12,A12BC7_pearson_148_2f_a_bf:Br-Rh-Tb,0.5963,0.1341,0.1695
wbm-3-23777,Zr1 In2 F6,A6B2C_pearson_164_i_d_a:F-In-Zr,3.1354,0.1705,2.9
mp-1222084,Mn8 H4 C16 O34,A8B2C4D17_pearson_30_4c_c_2c_a8c:C-H-Mn-O,0.6772,0.1835,2.4535
mp-1221558,Na4 Os2 O14,A2B7C_pearson_4_2a_7a_a:Na-O-Os,0.3937,0.2169,0.8098
wbm-1-6307,Rb1 Pb1 Br3,A3BC_pearson_6_2ab_a_b:Br-Pb-Rb,2.2976,0.1233,2.05
wbm-1-49405,Zr4 S8,A2B_pearson_227_e_c:S-Zr,0.7323,0.1088,0.44
mp-1206967,Rb3 Lu1 F6,A6BC3_pearson_225_e_a_bc:F-Lu-Rb,5.8597,0.1175,5.9774
mp-559210,Ca10 Te6 O28,A5B14C3_pearson_64_aef_f3g_bc:Ca-O-Te,2.0132,0.2112,1.6948
wbm-2-52347,Rb2 Er2 Zn2 Se6,ABC3D_pearson_63_a_c_cf_c:Er-Rb-Se-Zn,2.098,0.0331,2.09
mp-773525,Li1 Fe3 O4,A3BC4_pearson_10_bcd_h_mn:Fe-Li-O,1.1424,0.2706,0.7977
mp-1103778,Ho2 W2 Cl2 O8,ABC4D_pearson_12_i_i_2ij_i:Cl-Ho-O-W,3.5258,0.0831,3.5845
mp-1112641,Cs2 Nb1 Au1 F6,AB2C6D_pearson_225_a_c_e_b:Au-Cs-F-Nb,0.1437,0.0581,0.1702
mp-1187421,Th1 Be1 O3,AB3C_pearson_221_b_c_a:Be-O-Th,0.4276,0.211,2.7037
mp-1204604,Ba2 B10 O20,A5BC10_pearson_2_5i_i_10i:B-Ba-O,0.813,0.5572,0.6021
mp-698056,Na4 Cd2 H8 S4 O20,AB4C2D10E2_pearson_14_a_2e_e_5e_e:Cd-H-Na-O-S,3.7485,0.1028,3.988
wbm-2-24980,Sr2 Li2 I6,A3BC_pearson_188_k_a_c:I-Li-Sr,2.8101,0.1827,3.51
mp-867652,Li2 Ni4 P10 O30,AB2C15D5_pearson_11_a_f_3e6f_e2f:Li-Ni-O-P,4.0157,0.1369,3.3569
wbm-1-41465,V2 Cr2 O8,AB4C_pearson_70_a_h_b:Cr-O-V,1.3795,0.1007,0.1
mp-29213,Cd4 Ge14 O32,A2B7C16_pearson_117_g_dgi_4i:Cd-Ge-O,2.3895,0.0705,2.101
mp-1196616,Ni4 Bi2 B2 P4 O20,ABC2D10E2_pearson_11_e_e_f_2e4f_f:B-Bi-Ni-O-P,3.4664,0.0921,3.5479
wbm-3-67810,Pr2 Eu2 Ag2 Se6,ABCD3_pearson_63_c_c_a_cf:Ag-Eu-Pr-Se,0.2562,0.063,0.21
wbm-4-26631,Sm2 Fe1 Ge1 O6,ABC6D2_pearson_2_b_c_3i_i:Fe-Ge-O-Sm,2.5254,0.077,2.78
mp-1282826,Zn4 Co2 W2 O12,AB6CD2_pearson_14_a_3e_d_e:Co-O-W-Zn,2.0325,0.216,2.394
wbm-1-6157,Hg1 Br2,A2B_pearson_12_i_a:Br-Hg,1.0683,0.1103,2.43
mp-1178549,Al4 V4 O12,AB3C_pearson_148_c_f_c:Al-O-V,1.1572,0.6438,1.5969
mp-626497,Al2 H6 O6,AB3C3_pearson_8_b_2a2b_2a2b:Al-H-O,4.6523,0.107,4.7127
wbm-3-36925,Cs4 Li2 Ga2 As4,A2B2CD_pearson_72_j_j_a_b:As-Cs-Ga-Li,0.9907,0.0573,0.99
mp-3998,La2 Ta2 O8,AB4C_pearson_36_a_4a_a:La-O-Ta,3.5327,0.0673,3.4177
mp-615141,Pb2 Cl4 O8,A2B4C_pearson_68_e_i_a:Cl-O-Pb,1.4977,0.2653,1.2284
wbm-3-44518,Y2 Pt2 N6,A3BC_pearson_12_3i_i_i:N-Pt-Y,1.3982,0.0523,1.28
wbm-3-55436,Ba2 Y1 W1 O6,A2B6CD_pearson_225_c_e_a_b:Ba-O-W-Y,1.6416,0.0669,1.63
mp-1200643,K8 H8 C8 S16 N8,ABCDE2_pearson_60_d_d_d_d_2d:C-H-K-N-S,3.2933,0.4435,2.6169
mp-764730,Li12 V4 O12 F4,AB3C3D_pearson_15_f_3f_3f_f:F-Li-O-V,0.1822,0.0847,1.9903
mp-999495,Na3 N1,AB3_pearson_225_a_bc:N-Na,0.5412,0.2225,0.1478
wbm-1-30420,Ni2 W2 N4,A2BC_pearson_186_ab_a_b:N-Ni-W,0.1383,0.0667,0.09
mp-753328,Li5 Mn3 Co2 O10,A2B5C3D10_pearson_2_i_b2i_ci_5i:Co-Li-Mn-O,0.9832,0.3202,0.0011
mp-540792,Ge8 S12 Br8,A2B2C3_pearson_2_4i_4i_6i:Br-Ge-S,2.2681,0.1009,2.4625
mp-2074,Li3 Sb1,A3B_pearson_225_ac_b:Li-Sb,0.6148,0.0944,0.8067
mp-721053,Hg6 H8 S4 O22,A4B3C11D2_pearson_15_2f_cf_e5f_f:H-Hg-O-S,2.8659,0.0845,1.7521
mp-23336,Cs3 Mn3 Cl9,A3BC_pearson_166_dh_bc_ac:Cl-Cs-Mn,1.473,0.126,1.5002
wbm-1-22812,K1 Pb1 Br3,A3BC_pearson_221_c_a_b:Br-K-Pb,1.428,0.1604,1.71
wbm-2-42928,Ho2 As2 S8,ABC4_pearson_2_i_i_4i:As-Ho-S,1.5803,0.0321,1.58
mp-29245,Cd4 P6 Br2,AB2C3_pearson_15_e_f_ef:Br-Cd-P,1.3873,0.0596,1.2448
mp-1195277,Na4 Mo4 Se4 O22,A2B2C11D2_pearson_15_f_ce_e5f_f:Mo-Na-O-Se,3.4049,0.1168,2.7772
wbm-3-23894,K2 Ca1 Th1 F8,AB8C2D_pearson_119_a_j_bc_d:Ca-F-K-Th,6.5558,0.154,6.67
wbm-1-7735,Ca2 C2 O2,ABC_pearson_12_i_i_i:C-Ca-O,2.8461,0.1463,3.38
mp-23776,Be4 H32 Cl8 O16,AB2C8D4_pearson_14_e_2e_8e_4e:Be-Cl-H-O,5.4646,1.0249,5.341
mp-1228577,Ba4 Na2 Sr4 Sb6 O24,A2BC12D3E2_pearson_118_f_a_cde2i_bh_g:Ba-Na-O-Sb-Sr,2.1259,0.0607,1.6762
mp-1192788,Fe12 O16,A3B4_pearson_57_de_cde:Fe-O,1.3199,0.0841,0.777
mp-1273331,V4 O4,AB_pearson_129_c_c:O-V,1.5738,0.1023,1.5467
mp-776178,Fe3 Ni1 Sn2 P6 O24,A3BC24D6E2_pearson_146_3a_a_8b_2b_2a:Fe-Ni-O-P-Sn,0.1886,0.2416,0.0625
mp-1201950,Na6 Sm2 Mn6 As6 O30,A3B3C3D15E_pearson_176_h_g_h_3hi_c:As-Mn-Na-O-Sm,1.505,0.1911,1.3801
wbm-3-23902,Ba1 Na2 Ce1 F8,ABC8D2_pearson_119_a_c_j_bd:Ba-Ce-F-Na,2.3036,0.0962,2.43
wbm-1-9768,Hg1 Cl2,A2B_pearson_12_i_a:Cl-Hg,1.659,0.1531,2.96
wbm-5-3065,Zr2 Br6,A3B_pearson_2_3i_i:Br-Zr,0.2009,0.0448,0.36
mp-1101509,Li1 Mo1 P2 O8,ABC8D2_pearson_1_a_a_8a_2a:Li-Mo-O-P,1.026,0.5566,1.3812
mp-559648,K4 B4 C16 N4 F36,AB4C9DE_pearson_62_c_2cd_c4d_c_c:B-C-F-K-N,4.868,0.9544,6.8493
wbm-1-25030,Li2 Tm2 F8,A4BC_pearson_125_m_c_b:F-Li-Tm,7.1835,0.1161,7.44
mp-18936,Nd1 Fe3 B4 O12,A4B3CD12_pearson_155_ad_e_b_2df:B-Fe-Nd-O,2.1439,0.2803,2.361
wbm-3-13664,Ca2 Ce2 Ag2 Se6,ABCD3_pearson_63_c_c_a_cf:Ag-Ca-Ce-Se,0.0946,0.0732,0.03
mp-1068340,Cs1 Ge1 Br3,A3BC_pearson_160_b_a_a:Br-Cs-Ge,1.3541,0.1626,2.2258
mp-770684,Li4 Cr8 O16,A2BC4_pearson_62_2c_c_4c:Cr-Li-O,1.1966,0.3789,0.146
wbm-1-9979,Tl8 Cu8 Cl24,A3BC_pearson_61_3c_c_c:Cl-Cu-Tl,0.4106,0.1646,0.24
wbm-3-23972,Sr3 F8,A8B3_pearson_8_2a3b_ab:F-Sr,0.5542,0.1229,0.64
mp-771834,Tb12 Nb4 O28,AB7C3_pearson_62_c_c3d_cd:Nb-O-Tb,2.8638,0.1159,2.7676
mp-540689,Ba16 Sn8 S32,A2B4C_pearson_33_4a_8a_2a:Ba-S-Sn,2.2298,0.142,2.3106
mp-1247344,Ca6 Sc2 N6,A3B3C_pearson_176_h_h_c:Ca-N-Sc,0.1807,0.0664,0.3366
mp-574486,Ag8 C4 N8,A2BC2_pearson_14_ace_e_2e:Ag-C-N,2.3659,0.0999,1.0037
mp-1112417,K2 Ta1 Au1 F6,AB6C2D_pearson_225_a_e_c_b:Au-F-K-Ta,1.325,0.1084,1.1965
mp-1223991,Ho2 V1 P1 O8,A2B8CD_pearson_119_ac_2i_b_d:Ho-O-P-V,2.8023,0.0557,3.0254
mp-752790,Li2 Fe2 O6,ABC3_pearson_12_i_ac_3i:Fe-Li-O,0.2525,0.0969,0.1746
wbm-1-40570,Cu2 As2 O8,ABC4_pearson_109_a_a_2b:As-Cu-O,0.1516,0.0468,0.09
mp-16847,K12 Na8 Sn4 P12,A3B2C3D_pearson_64_fg_2d_fg_d:K-Na-P-Sn,0.6676,0.0436,0.9684
mp-755186,Li4 V4 F16,A4BC_pearson_12_2i3j_gi_hi:F-Li-V,2.2969,0.6204,2.064
mp-5827,Ca1 Ti1 O3,AB3C_pearson_221_a_c_b:Ca-O-Ti,1.8837,0.0566,1.8909
mp-1007665,Ho1 Tl1 S2,AB2C_pearson_166_a_c_b:Ho-S-Tl,1.5699,0.0556,1.5866
wbm-5-6448,Cs2 Au1 F6,AB2C6_pearson_12_a_i_ij:Au-Cs-F,0.4478,0.1486,0.63
mp-558042,Sm6 Cu2 Sn2 S14,AB7C3D_pearson_173_a_b2c_c_b:Cu-S-Sm-Sn,1.7808,0.0458,1.7843
mp-773206,Li6 Cr2 Si2 B2 O14,ABC3D7E_pearson_11_e_e_ef_5ef_e:B-Cr-Li-O-Si,0.6406,0.216,1.0325
wbm-2-26248,K2 Y2 Mg2 Se6,ABC3D_pearson_63_c_c_cf_a:K-Mg-Se-Y,2.4264,0.0293,2.42
wbm-2-36192,Pr2 Ti1 Cd1 O6,AB6C2D_pearson_148_a_f_c_b:Cd-O-Pr-Ti,3.0217,0.0522,3.17
mp-1112980,Cs3 Bi1 Br6,AB6C3_pearson_225_a_e_bc:Bi-Br-Cs,3.5446,0.0538,3.6283
wbm-1-36625,K2 Cl2 O4,ABC2_pearson_15_e_e_f:Cl-K-O,4.7335,0.3853,2.68
mp-1114606,Rb2 Tl1 Ga1 Br6,A6BC2D_pearson_225_e_a_c_b:Br-Ga-Rb-Tl,1.6824,0.0803,1.6747
mp-557130,Zn16 Te8 Cl16 O24,A2B3CD2_pearson_56_2e_3e_e_2e:Cl-O-Te-Zn,3.625,0.0721,3.6543
wbm-1-47408,Rb2 Ag2 I4,AB2C_pearson_140_b_h_a:Ag-I-Rb,2.4478,0.0851,2.45
mp-1219043,Sn4 Sb2 Se4 I6,A3BC2D2_pearson_36_3a_a_2a_2a:I-Sb-Se-Sn,0.8563,0.0691,1.0447
wbm-2-33958,Cu2 Sb2 O6,AB3C_pearson_12_g_ij_h:Cu-O-Sb,0.1043,0.0239,0.07
mp-755087,Li3 Fe1 F6,A6BC3_pearson_162_k_b_ac:F-Fe-Li,3.6455,0.3816,3.8126
wbm-1-16201,Cs1 Sn1 P1 I2 F6,AB6C2DE_pearson_123_c_gl_e_a_b:Cs-F-I-P-Sn,1.1608,0.1492,1.92
mp-25053,Sr2 Ni1 Mo1 O6,ABC6D2_pearson_225_a_b_e_c:Mo-Ni-O-Sr,2.6433,0.1243,2.3395
mp-22791,Tl2 In2 Te4,AB2C_pearson_140_b_h_a:In-Te-Tl,1.0067,0.0707,0.6499
mp-863062,Li2 Si2 Bi2 O8,ABC4D_pearson_159_a_b_bc_b:Bi-Li-O-Si,2.9106,0.0558,3.4179
wbm-1-38591,Cu4 Te4 O12,AB3C_pearson_11_ae_2e2f_ce:Cu-O-Te,0.1612,0.0352,0.12
mp-19290,Mn4 As4 O14,A2B2C7_pearson_12_i_h_aij:As-Mn-O,0.2407,0.06,1.247
mp-559604,Mn4 C20 O16 F8,A5B2CD4_pearson_14_5e_2e_e_4e:C-F-Mn-O,1.1892,0.8195,2.5793
wbm-3-44182,Sm2 Mn2 N6,AB3C_pearson_2_i_3i_i:Mn-N-Sm,0.0598,0.0228,0.08
mp-29244,Cd4 P6 I2,A2BC3_pearson_15_f_e_ef:Cd-I-P,1.2834,0.0558,1.135
mp-570700,Hf3 Tl2 Cu2 Se8,A2B3C8D2_pearson_12_i_ai_4i_i:Cu-Hf-Se-Tl,0.5112,0.0805,0.5666
mp-1095234,Dy2 Nb2 O8,ABC4_pearson_88_a_b_f:Dy-Nb-O,3.6008,0.0787,3.6933
mp-1212636,Gd4 Mo4 O20,ABC5_pearson_14_e_e_5e:Gd-Mo-O,1.2555,0.4099,0.0357
mp-755751,Ba4 Y4 F20,AB5C_pearson_19_a_5a_a:Ba-F-Y,6.1771,0.1194,6.9117
wbm-3-57472,Pr2 Zn2 Bi2 O2,ABCD_pearson_129_c_a_c_b:Bi-O-Pr-Zn,0.1659,0.0368,0.08
mp-1094005,Zn2 Ir4 O8,A2B4C_pearson_227_c_e_b:Ir-O-Zn,1.315,0.0986,0.6074
wbm-3-55397,Ba2 Nb1 V1 O6,A2BC6D_pearson_225_c_a_e_b:Ba-Nb-O-V,0.2851,0.0793,0.64
wbm-3-22652,Ce1 Fe1 F6,AB6C_pearson_148_a_f_b:Ce-F-Fe,-0.0094,0.194,1.14
wbm-1-44104,Fe2 O2 F6,A3BC_pearson_5_3c_ab_c:F-Fe-O,0.4557,0.1998,0.64
mp-574653,Cs2 Li1 Ir1 C6 N6,A6B2CDE6_pearson_225_e_c_a_b_e:C-Cs-Ir-Li-N,1.8193,0.2623,5.5251
mp-643930,Eu8 H16 Pd4,A2B4C_pearson_62_2c_2cd_c:Eu-H-Pd,0.2281,0.0399,0.3641
mp-1209191,Rb1 Pb1 Cl3,A3BC_pearson_221_c_b_a:Cl-Pb-Rb,1.982,0.0919,3.091
