material_id,formula,bandgap_pred_n0,bandgap_target
mp-651847,Gd4 Ga4 Ge8 O28,0.1347,2.8259
wbm-5-18083,Lu1 Pa1 Ru2,0.0006,0.0
wbm-3-44179,Pr2 Mn2 N6,0.0005,0.14
wbm-3-26051,La4 Ga4 Fe2,0.0006,0.0
mp-20601,Nd1 Pb3,0.0006,0.0
wbm-3-59349,Ti1 Cu2 P1,0.0006,0.0
wbm-3-32354,Zr2 H6 Pd2,0.0006,0.0
wbm-1-38869,In1 I1 O3,0.0008,0.0
mp-1208345,Tb4 Cr4 Se12,0.0005,0.114
mp-31440,Lu2 Zr2 Sb2,0.0006,0.0
wbm-1-17153,Fe6 As2,0.0006,0.0
mp-753696,Li2 V2 P4 O16,1.6241,1.0289
wbm-3-64887,Hf2 Tl2 Zn2 S6,0.0006,0.0
wbm-2-47560,Nd4 Mn4 Si4,0.0006,0.03
wbm-5-5899,Tm1 Cu1 Rh2,0.0006,0.0
mp-1214268,Ca2 Mn1 Si2,0.0006,0.0
wbm-3-40696,Np2 Mn2 In1,0.0006,0.0
mp-22431,Yb4 Ti4 O14,0.0005,0.0
mp-1183972,Cs1 Sr1 O3,0.0007,0.0
mp-1218191,Sr2 La2 Co2 O8,1.0051,0.7443
wbm-5-5557,Nd3 Cu2 Ru1,0.0005,0.0
wbm-1-12898,Cs4 Tl6,0.0005,0.0
wbm-2-20128,La3 Ge4 Pd4,0.0006,0.0
mp-18822,Mn8 P4 O16 F4,1.1836,0.0
wbm-5-3931,Er3 Cd3,0.0006,0.0
wbm-1-57864,Ti2 Nb1 Rh1,0.0006,0.0
mp-1183407,Be3 Si1,-0.0004,0.0
mp-1077930,Ta1 Mn2 B4,0.0005,0.0
wbm-1-47020,Np2 Ir1 Pd1,0.0006,0.0
wbm-5-17556,La1 Ta1 Rh2,0.0006,0.0
mp-1177841,Li8 V12 Cu4 O32,0.4148,0.37
wbm-1-33158,Na1 Ga2 Ru1,0.0006,0.0
mp-561682,Cs2 Mo6 S6,0.0006,0.727
wbm-1-4067,Dy3 B6 C3,0.0006,0.0
mp-1218062,Ta3 W1 S8,0.0006,0.0
wbm-2-8763,Ca4 As4 Pd4,0.0005,0.0
wbm-1-40489,Tl2 Cl2 O8,4.0026,4.44
wbm-3-47485,Eu1 Tm1 Ni2,0.0006,0.0
wbm-1-7248,Cr4 Sn2 C2,0.0005,0.0
wbm-4-34323,Tl1 Pb1 Se2,0.0007,0.0
mp-8354,La2 F6,6.8057,5.7447
wbm-2-15279,Cs2 Ga1 F5,5.624,5.44
wbm-1-23881,Li2 Hf1 Te1 O6,2.9692,3.1
wbm-3-29895,U2 Ge4 Pd6,0.0006,0.0
wbm-1-21500,Ta2 H2,0.0006,0.0
wbm-3-75764,Eu2 V2 Ge6,0.0005,0.0
wbm-2-21110,Rb1 P1 H2 Se1 O3,3.6016,3.68
wbm-1-48322,Ru3 Pb1,0.0006,0.0
mp-1069882,La1 Si3 Os1,0.0006,0.0
mp-1186511,Pm3 Cu1,0.0005,0.0
wbm-3-1124,Eu1 Al2 Pd3,0.0006,0.0
wbm-2-38851,Dy4 P4 Pd4,0.0005,0.22
wbm-3-73031,Dy2 Sn2 Pt2,0.0005,0.0
wbm-2-29411,Yb4 Br2 N2,2.3395,2.36
mp-1192099,B6 O18,0.9661,0.0
wbm-4-4052,Fe2 B6 Pb1,0.0006,0.0
wbm-1-9521,Cd1 Sn2 Te4,0.0005,0.0
wbm-3-58214,Pm1 Ag2 P1,0.0005,0.0
mp-22533,Ca6 Mn2 Ni2 O12,0.0044,0.0
wbm-3-26165,Yb2 Ga8 Fe2,0.0006,0.0
wbm-2-49340,Sr1 Bi1 Pb2,0.0005,0.0
mp-571275,Cs4 U2 Hg4 Se10,0.2411,0.0
wbm-1-55978,Zn1 Si1 Ru2,0.0006,0.0
wbm-4-34009,Rb2 Sc2 Mn2 Te6,0.1233,0.0
wbm-4-37616,Ti3 Mn1 Ga3 Ge2,0.0006,0.0
wbm-3-49663,Dy2 Ni2 Se4,0.0006,0.0
mp-640044,Pu4 Sn2 Pd4,0.0006,0.0
mp-1096655,Zr1 Zn2 Au1,0.0006,0.3054
wbm-3-74653,Ti1 Ag2 As1,0.0006,0.0
mp-1220517,Nb4 Co1 C2 S4,0.0006,0.0
wbm-1-26033,Li1 Pr1 Pd2,0.0006,0.0
wbm-3-32045,Eu1 Sn2 H2,0.0006,0.0
wbm-1-3344,Tl2 Sn1 As2 Se6,0.4203,0.61
wbm-3-59430,Y4 P4 Pt4,0.0005,0.12
mp-1198206,Re6 N6 Cl24,0.6212,0.1121
mp-1225230,Eu2 Cd2 Ag2,0.0005,0.0
wbm-1-44291,Ga2 Br2 O2,2.7367,2.32
mp-1064497,Sn2 S2,0.0005,1.4941
wbm-3-58401,Pu1 Co1 P1,0.0006,0.0
wbm-3-457,Th3 Ag3 Sb3,0.0006,0.0
mp-1228009,Ba1 La3 Sc4 H1 O12,4.2001,3.8045
wbm-5-22532,Tb3 Zn2 Cd1,0.0006,0.0
mp-1079464,Fe1 N3 F6,0.0005,0.0
wbm-1-14323,Sr2 Cu2 Sn2,0.0006,0.0
mp-8059,Si8 O16,5.1033,5.83
wbm-4-2352,Mn1 Al1 Cu1 Ni1,0.0006,0.0
wbm-2-30571,Na1 Pu2 Ge1,0.0006,0.0
mp-17541,K4 Sr4 V4 O16,3.8689,3.8682
mp-756610,Li3 Mg1 Ni4 O8,0.0038,0.0
wbm-5-2314,Eu1 B6 Ir2,0.0006,0.0
wbm-3-46428,Na2 In8 Pt2,0.0005,0.0
mp-1232362,Pr6 Mg6 S18,0.0007,0.0
wbm-2-27286,Ho2 Mn4 Pd2,0.0005,0.0
wbm-3-26629,Ga4 Fe2 Ni2,0.0006,0.0
wbm-4-8754,Pm1 Tl2 Cr1,0.0005,0.0
wbm-3-44657,Zr2 Sc3 N6,0.0006,0.0
wbm-2-9193,Ca1 In1 I4,0.0006,0.0
wbm-2-6076,Hf3 B3 Pt6,0.0006,0.0
wbm-2-19646,U1 Re4 Ge2,0.0006,0.0
wbm-3-49063,Gd2 Ni1 Au1,0.0005,0.0
wbm-2-45425,Pu1 Co3 Si2,0.0006,0.0
wbm-2-36456,Yb2 P2 O7,5.071,5.25
mp-571379,In4 Ga8 Cl28,3.8061,3.8337
mp-540789,Pb2 I4,2.2478,2.4125
wbm-1-39356,Th8 Pb8 O24,2.7138,2.86
wbm-1-23501,Li2 As1 F5,4.8095,5.42
wbm-3-6876,Pu2 Te2 As1,0.0006,0.0
mp-1520142,K1 La1 Ce1 Ge1 O6,2.0109,2.0494
mp-771,Mn1 Al1,0.0005,0.0
wbm-1-21524,Zr4 H2 I4,0.0005,0.0
wbm-2-26051,Ba1 Mg1 Ga3,0.0005,0.0
mp-5215,Nd2 Ni2 Ge4,0.0006,0.0
mp-754520,Na12 Co4 O12,1.4276,0.0487
wbm-3-70573,Er4 Cd4 Si4,0.0005,0.0
wbm-1-60551,Sm2 Zn8,0.0006,0.0
wbm-3-1782,Nb3 Al3 Ge2 Pt1,0.0005,0.0
wbm-3-71839,La4 Si4 Rh4,0.0005,0.0
wbm-3-522,Tb3 Ag3 Hg3,0.0006,0.0
wbm-3-41941,Mn1 Ga1 Hg2,0.0005,0.0
wbm-1-8858,Ca1 Nb1 Hg2,0.0005,0.0
wbm-3-71999,Sc3 Cd3 Si3,0.0005,0.0
mp-867812,Li1 Al1 Ni2,0.0006,0.0
wbm-3-52958,Sr2 Al1 Zn1 O6,0.0008,0.0
mp-1212661,K4 Be4 Cu2 O12 F16,0.0006,0.1678
mp-583224,Eu2 Co16 P10,0.0006,0.0
wbm-2-33423,Hg2 Sb2 Cl2 O4,1.942,1.81
wbm-2-13575,Lu3 Cu4 Ge4,0.0005,0.0
wbm-3-8096,Sc2 B4 Pt4,0.0006,0.0
wbm-3-2300,Ta4 Al6 Os2,0.0006,0.0
mp-971751,V2 Rh2,0.0005,0.0
mp-1192832,Nb2 Co21 B6,0.0006,0.0
mp-1232091,Pr8 Mg4 S16,2.0184,1.9715
mp-1227974,Ba1 Bi2 Br2 O2,0.0063,0.0
mp-3576,Hf1 Ga1 Co2,0.0006,0.0
wbm-1-40943,Na2 Zr1 O4,0.0006,0.0
wbm-2-45207,Lu2 Se1 I2,0.0006,0.0
mp-1079822,Hf4 In2 Pd4,0.0006,0.0
mp-1095719,Y1 Ga1 Pd2,0.0006,0.2321
wbm-2-51937,Np2 Zn2 Ga2,0.0006,0.0
wbm-2-466,Ho1 Al2 Cd1,0.0005,0.0
mp-6281,Na2 Ca6 Ru2 O12,0.4539,0.4461
wbm-1-59437,V3 Ni9,0.0006,0.0
wbm-3-51292,Pr2 Tm2 O6,3.5945,3.5
wbm-5-7930,Ga4 Fe2 Sn2,0.0006,0.0
mp-1226115,Co1 O2,0.0006,0.0
wbm-1-45653,Zn1 Cu5 P1,0.0006,0.0
wbm-1-37677,S2 Br4 O4,3.0297,2.47
wbm-1-31057,Y3 Ti2 N3 O4,0.9422,0.95
mp-1206834,Rb3 Au1 F6,1.1308,1.0184
wbm-1-30586,Sr1 Pu1 N2,0.0006,0.0
wbm-1-22488,Ir2 Pt6,0.0007,0.0
mp-1198165,Tm10 Ge20 Ir8,0.0006,0.0
mp-38843,Ca1 Ta2 O6,0.0005,2.0982
wbm-3-21793,Er4 Tl2 Au4,0.0005,0.0
mp-570138,Tb2 Al4 Ni1 Ge2,0.0006,0.0
wbm-3-60080,Eu1 Tl2 Pd1,0.0006,0.0
mp-540582,Ca4 Cr8 O16,0.4872,0.0
wbm-2-34019,Hf1 Th1 O3,0.0007,0.0
wbm-3-74409,Ti2 Cr1 Cu1,0.0006,0.0
mp-571382,Nd1 Co2 As2,0.0005,0.0
mp-759844,Li6 Mn1 F8,4.4091,4.5332
wbm-5-8807,Pu2 Ga1 Pd2,0.0006,0.0
mp-862883,Ca1 Pm1 Hg2,0.0005,0.0
wbm-3-60887,Rb2 In2 Bi2,0.0006,0.0
wbm-2-1837,Pr2 Al8 Rh2,0.0006,0.0
wbm-3-6037,Rb6 Tl2 As4,0.2606,0.17
wbm-2-25086,Lu2 Au2,0.0006,0.0
mp-21871,Ce4 Cr4 S12,0.0005,0.0
wbm-3-22043,Cs2 Ce1 F4,0.0005,0.0
mp-28248,Cd2 I4,2.2473,2.4364
wbm-5-16511,Ba1 P1 Rh2,0.0006,0.0
wbm-1-60022,Y2 Sn4 Pt4,0.0005,0.0
wbm-2-36280,Ba2 Tm1 Zr1 O6,0.0006,0.0
wbm-1-22495,Th2 Ir2,0.0006,0.0
wbm-1-19637,La1 Ag2 Ge1,0.0005,0.0
wbm-3-43216,Tm4 Co2 N4,0.0005,0.0
wbm-4-953,Ho3 Al3 Sn2 Ru1,0.0005,0.0
mp-1203636,Ba4 Pr8 In8 O28,2.1368,2.4212
wbm-2-11312,Y1 Co5,0.0006,0.0
wbm-3-54121,Pr2 Mg1 Ti1 O6,3.2753,3.17
mp-13024,Al2 P2 O8,5.9179,5.2723
mp-1006127,Pa6 Mo2,0.0007,0.0
mp-1079455,Ce2 Ni2 As2 O2,0.0005,0.0
mp-754842,Li2 Fe2 Si2 O8,2.7456,2.985
mp-1228319,Ba2 Ta1 Mn1 O6,0.0006,0.0
wbm-1-20898,K2 Tl1 In1 H6,0.3243,0.0
wbm-1-53788,La4 Si4 Ru2,0.0006,0.0
wbm-1-8272,Ca5 Ga5 Pb1,0.0006,0.0
wbm-3-34951,K4 Tb2 Te6,0.0007,0.0
mp-1077933,Gd2 Cu4,0.0006,0.0
wbm-1-47659,Hf1 Rh2 Pb1,0.0006,0.0
wbm-1-48551,Dy8 Sn24 Ru8,0.0005,0.0
wbm-3-34313,Ce4 In2 Pt4,0.0006,0.0
wbm-3-70399,Yb2 Si2 As2,0.0005,0.0
mp-1211828,K2 Rb1 Eu1 V2 O8,0.0006,0.0
wbm-3-49346,Nb2 Ni1 Rh1,0.0006,0.0
wbm-3-20796,Dy2 In4 Cu2,0.0005,0.0
mp-557684,Er4 V4 O14,0.0006,0.0
wbm-2-25258,Ac1 Eu1 Mg2,0.0006,0.0
wbm-4-17922,Li2 Ho1 Np1 F8,0.0006,0.35
wbm-2-19483,Gd1 Ge2 Ir2,0.0006,0.0
wbm-1-4677,Gd2 Ni5 B4,0.0006,0.0
mp-1097564,Zr2 Co1 Re1,0.0006,0.0
mp-1191955,Cs2 B6 H16,5.904,5.9868
mp-1286441,Ti4 V4 O16,0.0396,0.6662
wbm-1-1361,Sr1 Al3 Pd2,0.0006,0.0
wbm-4-3031,Cs2 Zr2 Al2 Te6,0.0005,0.0
wbm-3-45835,Na2 In1 Co1 S4,-0.0001,0.06
wbm-2-44239,Sc3 Tl3 Cu3,0.0005,0.0
wbm-1-37987,Hf2 Ag2 O6,0.0006,0.0
wbm-1-42121,Ca1 La2 Nb1 O6,0.0007,0.38
wbm-2-10787,Tm2 Co4 As4,0.0005,0.0
wbm-3-65820,Dy2 Pu2 Sb2,0.0006,0.0
wbm-3-39181,Mg1 In1 Pt2,0.0006,0.0
mp-707312,Sr4 H24 C8 S8 N8 O12,3.9798,4.3178
mp-1227302,Ca4 Tb8 Mn12 O36,0.0005,0.0
wbm-1-42719,Sr2 Y1 P1 O6,4.6502,4.53
wbm-1-8310,Ca2 Ag2 Sb2,0.0005,0.0
mp-1211674,Li3 P1 F6,6.5204,3.6969
mp-1220359,Nd10 S18,1.9747,0.0
wbm-4-19706,Mg2 Ge2 Pt2,0.0005,0.0
mp-30585,Ho1 Cu5,0.0006,0.0
mp-1079583,Rb2 Na1 Al1 F6,6.7929,6.7912
wbm-3-33285,Dy2 H1 N1,0.0006,0.0
mp-1222616,Li2 Tl1 Hg1,0.0006,0.0
wbm-3-54452,Ni1 Bi2 O6,0.0005,0.0
wbm-1-36033,La2 Ni2 Sn2,0.0006,0.0
mp-555,Fe8 N1,0.0005,0.0
wbm-2-35422,Ba2 Ca1 Hf1 O6,0.0007,0.0
mp-569810,Sr8 B4 I4 N8,1.8436,3.0201
mp-1204871,Er8 Ge6 O30,3.7523,0.0
wbm-3-50150,Nd2 Ag2 O4,0.0005,0.0
mp-21763,Nd6 Cu24 P12,0.0005,0.0
wbm-2-27814,Tm3 Mn3 Ga3,0.0005,0.0
wbm-5-14430,Nd1 U1 Pb2,0.0006,0.0
wbm-1-5019,In3 B1 Pb1,0.0005,0.0
wbm-4-7955,Sm1 Co1 Pd2,0.0006,0.0
wbm-3-13037,Ca2 Ho2 Cu2 Te6,0.5809,0.55
wbm-1-46690,Pd4 Pb2,0.0005,0.0
wbm-2-16678,Fe2 Pt1 Br8,0.0006,0.72
mp-1188985,Pr1 Mn7 O12,0.0005,1.0314
mp-27776,Cd8 As4 Cl8,0.7671,1.0295
mp-1225132,Eu1 Tm1 B12,0.0006,0.0
wbm-3-9654,Er3 B3 Rh6,0.0005,0.0
mp-1193289,As2 H4 S2 N2 F20,4.6045,4.6293
wbm-2-29351,Ho2 Br2 N1,0.0006,0.0
mp-16538,Ba5 Gd8 Zn4 O21,0.0006,2.79
wbm-2-3000,Sr4 Al4 Ni4,0.0005,0.0
wbm-5-3596,Ca6 Re1 Sb2,0.0006,0.0
wbm-1-25611,Li1 Ni1 Ag2,0.0005,0.0
wbm-2-1432,Np3 Al3 Ni1 Ge2,0.0006,0.0
wbm-3-10622,Pr2 Br2,0.0005,0.0
wbm-2-15464,Cs3 Dy1 F6,5.509,5.43
wbm-1-36390,Ag1 Sb1 O2,0.3121,0.19
mp-1113345,Rb2 Al1 Hg1 Cl6,0.0007,0.0
wbm-3-40872,Mn4 Tl2 Se6,0.0006,0.0
wbm-2-6774,Pu2 Bi4,0.0006,0.0
wbm-3-3116,Pr1 Al5 Rh2,0.0006,0.0
wbm-3-27347,Zr4 Fe4 Sn4,0.0005,0.0
wbm-1-42535,Ba1 Y1 Mg1 Nb1 O6,3.4391,3.26
mp-1194002,Zr6 Ga16 Pt7,0.0005,0.0
wbm-1-33926,Nb2 Tc1 Ag1,0.0006,0.0
wbm-1-20054,Ge1 Sb4 Se7,0.5706,0.5
wbm-1-19838,La4 Ge4 Pt4,0.0005,0.0
mp-7723,Na1 Al1 F4,7.2951,6.0413
wbm-3-6917,Tm3 As3 Ir3,0.0006,0.0
wbm-2-2615,Al1 Fe2 Ni1,0.0006,0.0
wbm-3-13614,Ca3 Tl3 Ru3,0.0006,0.0
wbm-3-6314,Pu2 As1 Br1,0.0006,0.0
wbm-2-47203,Tm4 Si2 Cu6,0.0005,0.0
wbm-2-8137,Ti2 C1 N2 O2,0.0006,0.0
wbm-2-35282,Sr2 Tm1 As1 O6,3.3997,3.35
mp-1120814,Na1 Mn2 Bi1 O6,1.0605,0.0
wbm-3-75182,Lu2 Ti2 Sn6,0.0006,0.0
wbm-3-48525,Tl1 Ni5 Ge1,0.0006,0.0
wbm-4-22099,Eu2 Pd1 N2,0.0006,0.0
wbm-1-47481,Rb2 Pb6,0.0006,0.0
wbm-2-4060,Er4 As4 Os4,0.0005,0.0
mp-1187959,Y2 Pu6,0.0007,0.0
mp-1079006,Pt1 N2 O6,-0.0001,0.0
wbm-3-29247,Ho3 Ga3 Ru3,0.0005,0.0
wbm-3-53535,Pr2 Cr1 Cd1 O6,1.5543,1.14
mp-557563,Mo2 Pb6 Cl4 O10,3.0578,2.3406
mp-758524,Li4 Ni2 O4 F2,0.0007,0.0
mp-976679,Ho2 Sb6,0.0006,0.0
wbm-3-22850,K2 Rb1 Er1 F6,5.6643,5.57
wbm-3-51783,Ca2 Yb1 O4,0.0042,0.0
mp-1077151,Eu2 Zn2 Ge2,0.0006,0.0
wbm-3-34217,Pu1 In5 Au1,0.0006,0.0
wbm-5-19501,Tb4 Pb1 Se3,0.0006,0.0
wbm-1-59686,Y2 Ag1,0.0006,0.0
wbm-5-8515,Ho3 Ga3 Sn2 Os1,0.0005,0.0
wbm-3-57295,Gd3 Sn1 O1,0.0005,0.0
wbm-2-17414,Zr1 Fe1 As1,0.0005,0.0
mp-3552,Li8 Si8 O20,5.8132,5.24
wbm-1-43313,Rb1 Th1 Ta2 O7,0.0006,0.0
mp-999192,Si2 Ni2,0.0006,0.0
wbm-1-15147,Sm1 F3,6.9084,7.0
mp-1079128,Cr4 Bi4,0.0006,0.0
wbm-3-61831,Hg6 Rh2,0.0006,0.0
wbm-1-43474,Cs1 Al1 W2 O8,4.8318,4.8
mp-540926,Ba6 Cr6 O18,0.3361,0.0
wbm-2-22772,In1 Sb1 Ir1,0.0005,0.0
wbm-1-61128,Zn1 Ag1 Se2,0.0006,0.0
mp-1219611,Re6 Ni4 P10,0.0005,0.0
wbm-4-21501,Mn2 Ni4 Sn2,0.0006,0.0
wbm-3-14465,Ce1 Bi1 Os1,0.0006,0.0
mp-19144,Rb4 W4 O14,3.7457,2.4045
wbm-4-31516,Cs2 Tm2 Te6 Rh2,0.0006,0.0
wbm-2-22667,Hf1 In1 Pt1,0.0006,0.0
wbm-2-49807,Er1 Te2 Pb1,0.0006,0.0
wbm-2-28230,Mn4 Se4,0.0005,0.0
wbm-3-78921,Zr6 Sn2 Pt1,0.0006,0.0
wbm-3-56592,La2 Cd2 As2 O2,0.8056,0.91
wbm-3-60230,U2 Pd1 Pb1,0.0006,0.0
wbm-3-27316,Hf2 Zn2 Fe2,0.0006,0.0
wbm-2-8823,Ca1 Pr1 Co2,0.0005,0.0
wbm-3-35161,K1 Nd2 Cd1,0.0006,0.0
wbm-3-58678,Gd3 P3 Au3,0.0006,0.0
wbm-4-24976,Co2 Sb2 Br2 O4,1.1163,1.36
wbm-3-78131,U2 Zn1 Pb1,0.0006,0.0
wbm-5-12291,Mg2 Ni4 Ge2,0.0006,0.0
mp-1111973,K2 Al1 Ag1 Cl6,2.4515,2.4813
wbm-3-53581,Sr2 Er1 Cu1 O6,0.0006,0.0
wbm-1-8765,Ca1 Pm1 In2,0.0006,0.0
wbm-4-25302,Ca1 Ho1 O4,0.0007,0.0
mp-1208440,Ti4 As8 O36,-0.0,0.0
mp-1185213,K3 U1,0.0006,0.0
mp-1207960,Tm4 Mg2 Ti2 O12,3.3622,3.246
wbm-2-27368,Y2 Mn2 Sn1,0.0005,0.0
mp-1251,V1 Rh1,0.0005,0.0
wbm-1-57246,Er2 Tc1 Os1,0.0006,0.0
mp-1018073,Ho2 Ga2,0.0005,0.0
wbm-2-3806,Ce2 As4 Rh2,0.0005,0.0
mp-1016926,Zn1 Ir1 O3,0.0006,0.0
wbm-2-23883,Li4 Pd2 Pb4,0.0005,0.0
wbm-5-4887,Ba1 Co1 Sb1,0.0005,0.0
wbm-2-7978,La3 Ge1 C1,0.0005,0.0
wbm-3-38704,Mg1 In1 Co1,0.0005,0.0
wbm-2-36748,Cs1 As1 P2 O8,3.0712,3.02
mp-1220376,Nd2 Fe1 Sb4,0.0006,0.0
mp-1023954,Mo1 W1 S4,1.316,1.3369
wbm-4-410,Pu3 Al2 In3,0.0006,0.0
mp-557762,Ti3 S3,0.0006,0.0
wbm-3-58097,Yb1 Zn2 P2,0.5398,0.05
mp-1062030,Ti1 S2,0.0006,0.0497
wbm-1-48361,Sb1 Ru7,0.0005,0.0
wbm-2-23321,K1 Mn2 Ga9,0.0006,0.0
wbm-4-23148,Na1 Tb1 Ni2 As2,0.0006,0.0
wbm-3-33797,Eu1 Er1 In2,0.0006,0.0
wbm-2-31064,Nb2 Pt1,0.0006,0.0
wbm-2-15725,K1 Rb2 Cr1 F6,4.0852,4.11
wbm-1-16738,La2 Se2 F2,1.0981,1.21
wbm-1-10107,K1 Pb1 Cl3,2.4163,2.14
wbm-2-20828,Pu2 Ge2 Sb2,0.0006,0.0
wbm-3-7835,La1 Ge1 B2 O6,0.0007,0.0
mp-998610,Tl1 Ag1 Cl3,0.0006,0.0
wbm-1-3535,Tl1 As1 Ir5,0.0006,0.0
wbm-4-37676,Pr4 Ti4 As4,0.0006,0.0
wbm-1-20027,U2 Ge2 Sb2,0.0006,0.0
wbm-3-20116,Ho1 In1 Cu4,0.0006,0.0
wbm-3-51390,Dy2 Sc2 O6,3.5488,3.46
wbm-3-19366,Zr2 Ga1 Cu2,0.0006,0.0
wbm-3-75541,V3 Zn1 Os2,0.0005,0.0
wbm-2-30597,Cs2 Na1 In1,0.0006,0.0
wbm-4-1669,Ba1 Al6 Pt1,0.0005,0.0
wbm-3-52251,Nd1 Ho1 O4,2.0585,2.17
wbm-3-56138,Ba1 Pr1 As2 O8,0.0007,0.0
wbm-2-22707,In2 Ir6,0.0005,0.0
wbm-1-16515,Yb2 La1 F7,0.0012,5.69
wbm-1-57614,Th2 Te10,0.0006,0.38
wbm-3-57449,Th2 Zn2 As2 O2,0.0006,0.0
wbm-2-31273,Nd2 Tl2 Pt4,0.0006,0.0
mp-777047,Li1 Tm1 O2,4.8559,4.6352
wbm-1-8891,Ca2 Ni2 Bi2,0.0006,0.0
wbm-3-5171,Al2 S10,0.0006,0.0
wbm-3-54546,Ba3 Pd1 O6,0.0005,0.0
wbm-1-1697,Sm2 Al1 Ag1,0.0006,0.0
wbm-4-22935,Na2 Pr1 Mg2 Ge2,0.0005,0.0
wbm-3-34330,Dy4 In4 Au4,0.0005,0.0
wbm-1-37816,Tb1 Tl1 O2,1.7038,1.56
wbm-1-13312,Zn2 Cu4,0.0005,0.0
mp-1105293,Ga4 Ag4 O8,0.4566,0.5311
mp-2968,Sr1 Mn2 Sb2,0.0005,0.0
wbm-5-3291,Yb2 Ge2 Os2 C1,0.0005,0.0
wbm-1-59869,Y2 In2 Ir4,0.0006,0.0
wbm-1-46819,Pd6 W2,0.0006,0.0
mp-1018739,K2 Mn2 Bi2,0.0006,0.0
mp-1551,Te6 Ir3,0.0005,0.0
wbm-3-13446,Ca1 Cu4 Ni1,0.0006,0.0
wbm-2-8657,Ca3 Co2 Sn7,0.0006,0.0
wbm-2-27364,Th2 Mn4,0.0006,0.0
wbm-3-72051,Si1 Bi4 Se7,0.6505,0.54
wbm-3-72137,Tb2 Si2 Pt4,0.0006,0.0
mp-765665,V2 P4 H16 N4 O16,2.215,0.0051
mp-862701,Cs3 Ca3 C3 O9 F3,4.5556,4.5255
wbm-2-13565,Dy3 Cu4 Ge4,0.0005,0.0
wbm-1-1958,Nb1 Al1 Cu2,0.0005,0.0
mp-1220417,Nb6 Pd1 Rh1,0.0006,0.0
wbm-1-48419,Hf1 Bi1 Ru1,0.0006,0.0
wbm-1-6180,Pd2 Br4,0.9175,0.81
wbm-2-21553,Cr1 Cd2 H6,0.0005,0.0
wbm-2-3194,Ac1 Al1 S2,1.7366,0.92
wbm-1-12737,Cr2 Pb4,0.0006,0.0
wbm-5-22126,Mn2 V2 Sn2,0.0005,0.0
mp-974959,Rb3 Li1,0.0006,0.0
mp-1215252,Zr1 Al1 W4,0.0005,0.0
wbm-3-28661,Tl2 Cd1 Ga1,0.0006,0.0
wbm-3-18197,Mn1 Cr2 Ga1,0.0005,0.0
wbm-4-23119,Na1 Mg1 Ga1 Ru1,0.0006,0.0
wbm-1-21207,Na4 H4 S4,2.8594,3.16
mp-1197218,Cu4 C8 S8 N16,0.0006,0.0
mp-1182215,Be4 O8,0.0008,0.3109
wbm-2-36009,Ba2 Sc1 Cu1 O6,0.0006,0.0
wbm-2-1574,Pu3 Al3 Si2 Ni1,0.0006,0.0
wbm-3-13205,Ca1 Np1 Ge2,0.0006,0.0
mp-27568,Ba20 Al6 Ge14,0.0006,0.0
mp-1112926,Cs2 Sb1 Au1 Cl6,0.2829,0.4246
wbm-4-9261,Tm4 Cu4 Sn2,0.0005,0.0
wbm-2-38771,Ho2 Ni2 P2,0.0005,0.0
wbm-3-64125,Cs2 U2 Hg2 S6,0.0005,0.0
wbm-4-25167,K4 Nd2 O6,0.0007,0.0
mp-23804,Mg2 Fe1 H6,0.0006,1.9505
wbm-5-361,Al3 Co2 Pd1,0.0005,0.0
wbm-4-26969,Mg1 Zr2 Mo1 O6,1.0367,0.72
wbm-1-7110,Al1 Pd3 C1,0.0006,0.0
wbm-3-18908,Cr6 Ru6,0.0006,0.0
wbm-5-18525,Ba1 Sn1 S3,0.0009,0.0
mp-1186769,Sr1 Y1,0.0006,0.0
wbm-2-3780,Th1 As2 Pt2,0.0005,0.0
mp-27508,Li6 Br3 N1,1.0825,2.1401
wbm-3-19987,Cu6 Sn2,0.0006,0.0
wbm-1-7532,Nd2 C2 N4 Cl2,3.6376,3.32
mp-2203,Y1 B6,0.0006,0.0
mp-29349,H16 S16 N16,2.2841,3.3398
wbm-4-9309,Y3 Zn2 Cu2 Sb4,0.0006,0.0
wbm-1-27139,Mg8 U4,0.0006,0.0
wbm-4-10010,Dy3 Os2 Pt1,0.0005,0.0
wbm-3-61230,Tb2 In1 Rh2,0.0005,0.0
wbm-1-55936,Y6 Si6 Pt12,0.0006,0.0
wbm-2-9376,Ca3 Tl3 Pt3,0.0006,0.0
mp-1522153,Ba1 Ce2 Eu1 O6,0.0005,0.0744
wbm-1-53583,Sr8 Mn8 Si16,0.0006,0.0
mp-2540,V1 Tc1,0.0005,0.0
wbm-3-67130,Sc4 Nb4 Sb4,0.0006,0.0
mp-1209628,Rb8 Ga8 Sn8 Se32,1.3231,1.3776
mp-1205484,Pr2 Cu3 Sn6,0.0005,0.0
mp-1246380,Li12 Ni4 N8,0.0006,0.0
wbm-2-37989,Sr2 P4 Rh4,0.0005,0.0
wbm-2-41526,Tb1 Dy1 Ru2,0.0005,0.0
wbm-1-49626,Gd4 S6,1.8722,1.58
wbm-2-36288,Eu1 Al2 Sb2 O7,0.3893,0.16
wbm-3-3011,Np1 Al5 Ir1,0.0006,0.0
wbm-1-49401,Zr1 S2,1.1074,1.05
mp-1203965,K4 Eu4 H8 S8 O36,0.0006,0.1963
mp-1079021,Yb2 Ce2 S6,0.0006,0.1269
