material_id,formula,wyckoff,bandgap_pred_n0,bandgap_target
wbm-3-34947,K4 Ce2 Te6,AB2C3_pearson_12_g_adh_ij:Ce-K-Te,0.2592,0.75
mp-1221592,Na4 Cd2 Cl8 O6,AB4C2D3_pearson_12_ab_2ij_ei_ij:Cd-Cl-Na-O,0.8109,0.7695
mp-1204008,Mn4 Hg2 C20 O20,A10BC2D10_pearson_14_5e_a_e_5e:C-Hg-Mn-O,0.0394,2.6828
wbm-3-7822,Pr2 Fe1 B2 O6,A2BC6D2_pearson_12_i_a_ij_i:B-Fe-O-Pr,0.4695,0.34
wbm-1-7649,Cu4 C2 O6,AB2C3_pearson_11_e_f_ef:C-Cu-O,0.2952,0.75
wbm-3-54163,Zr1 Mn2 O6,A2B6C_pearson_12_i_3i_a:Mn-O-Zr,0.1684,0.2
mp-559052,Li2 Nb6 Bi8 O28,A4BC3D14_pearson_15_2f_e_ef_7f:Bi-Li-Nb-O,1.7109,2.6654
mp-757835,Li4 V2 Co6 O16,A3B2C8D_pearson_186_c_ab_ab2c_b:Co-Li-O-V,0.5894,0.3818
mp-22212,Na4 Sb4 O12,AB3C_pearson_62_c_cd_a:Na-O-Sb,0.2319,1.2828
wbm-3-14671,Cs2 Tb2 Cl6,A3BC_pearson_12_ij_i_i:Cl-Cs-Tb,0.0907,0.03
mp-1255912,Mn4 Al4 O14,A2B2C7_pearson_227_c_d_af:Al-Mn-O,0.5974,1.5858
wbm-1-10841,Ba2 As1 Cl1,AB2C_pearson_166_a_c_b:As-Ba-Cl,1.1898,1.18
mp-1113887,Na2 Tl1 Ga1 F6,A6BC2D_pearson_225_e_a_c_b:F-Ga-Na-Tl,3.2025,3.5555
wbm-1-11333,Cs2 Co3 Se4,A3B2C4_pearson_69_ac_g_n:Co-Cs-Se,0.5226,0.71
wbm-2-40502,Rb2 Sr2 I6,A3BC_pearson_63_cf_c_a:I-Rb-Sr,3.6961,3.78
mp-763431,Li1 Mn5 O3 F5,A5BC5D3_pearson_8_a2b_a_3ab_3a:F-Li-Mn-O,0.5246,0.5714
mp-24148,Li1 La2 H1 O3,AB2CD3_pearson_71_a_f_c_bf:H-La-Li-O,2.2093,1.9591
mp-10985,Rb2 Cu6 S4,A3BC2_pearson_12_3i_i_2i:Cu-Rb-S,0.258,0.472
mp-753654,Li1 Sn1 P1 O4,AB4CD_pearson_82_a_g_c_b:Li-O-P-Sn,3.2452,3.0257
wbm-4-26884,Ho2 Mg1 Mo1 O6,A2BCD6_pearson_12_i_a_d_ij:Ho-Mg-Mo-O,1.7158,1.77
mp-1017549,Ca1 B2 H2,A2BC2_pearson_164_d_a_d:B-Ca-H,0.3808,0.0542
mp-27300,Rb2 Au2 Br6,AB3C_pearson_12_ad_ij_i:Au-Br-Rb,0.7758,0.774
wbm-1-22562,K2 Co1 Te2,AB2C2_pearson_71_a_f_h:Co-K-Te,0.0744,0.03
mp-758759,Li6 Ti3 Ni6 O18,A2B2C6D_pearson_12_hj_ij_3i3j_ag:Li-Ni-O-Ti,2.1083,0.3679
mp-697692,Li4 Cr4 P8 O32,ABC8D2_pearson_14_e_e_8e_2e:Cr-Li-O-P,0.8253,1.2792
mp-763729,Li3 Nb1 Fe3 O8,A3B3CD8_pearson_2_abc_def_g_4i:Fe-Li-Nb-O,0.847,0.8336
mp-757216,Li3 Mn1 Fe3 O8,A3B3CD8_pearson_166_e_d_a_ch:Fe-Li-Mn-O,0.7874,1.6158
wbm-1-21163,K1 H1 Se1,ABC_pearson_160_a_a_a:H-K-Se,2.5544,2.64
wbm-3-33037,Nd1 Mg2 Mn1 H8,A8B2CD_pearson_164_di_d_a_b:H-Mg-Mn-Nd,1.024,0.85
mp-1232068,Nd4 Mg2 S8,AB2C4_pearson_122_a_d_e:Mg-Nd-S,2.1171,2.0731
wbm-1-43203,La2 Sm2 O7,A2B7C2_pearson_115_g_abcef_g:La-O-Sm,0.5377,0.68
wbm-2-5248,Zr1 Sn1 B2 O6,A2B6CD_pearson_148_c_f_a_b:B-O-Sn-Zr,3.1861,3.37
mp-1225380,Dy6 Mg1 Ge2 S14,A6B2CD14_pearson_143_2d_ab_c_ab4d:Dy-Ge-Mg-S,2.1773,2.1727
wbm-1-50065,Ba1 Ga2 S4,AB2C4_pearson_97_a_c_j:Ba-Ga-S,2.3932,2.91
wbm-4-22236,Yb1 Pb1 N2,A2BC_pearson_166_c_a_b:N-Pb-Yb,0.3024,0.04
wbm-3-35705,K2 Zr2 Hg2 Se6,ABC3D_pearson_11_e_e_ef_a:Hg-K-Se-Zr,0.0903,0.11
mp-18942,V2 P4 O14,A7B2C_pearson_15_e3f_f_e:O-P-V,1.2772,2.7701
mp-1026350,Te4 W3 Se2,A2B4C3_pearson_156_2a_2a2b_a2b:Se-Te-W,1.0101,0.8937
mp-753693,Ho2 Ge2 O7,A2B2C7_pearson_12_i_h_aij:Ge-Ho-O,3.7846,3.851
wbm-1-10788,Ba1 Er2 Cl8,AB8C2_pearson_12_a_gij_h:Ba-Cl-Er,4.0327,4.14
mp-9905,Ba8 Si4,A2B_pearson_62_2c_c:Ba-Si,0.1579,0.0553
wbm-2-27567,Ba4 Mn4 As4,ABC_pearson_198_a_a_a:As-Ba-Mn,0.1152,0.01
wbm-2-37186,Fe1 Br2 O1,A2BC_pearson_12_i_a_b:Br-Fe-O,1.6774,0.1
mp-1096101,Sc2 Al1 Pd1,ABC2_pearson_71_a_b_e:Al-Pd-Sc,0.1143,0.1329
wbm-2-45177,Sn4 Se4 Br4,ABC_pearson_14_e_e_e:Br-Se-Sn,1.3048,0.3
wbm-2-10119,Cr2 Cl6,A3B_pearson_194_h_c:Cl-Cr,0.7352,0.54
mp-770795,Na6 Cu2 B2 S2 O14,ABC3D7E_pearson_11_e_e_ef_5ef_e:B-Cu-Na-O-S,0.3117,0.631
mp-1193583,Ba4 Ho8 S16,AB2C4_pearson_62_c_2c_4c:Ba-Ho-S,1.7389,1.7384
mp-1181006,Li4 V4 Te4 O20,AB5CD_pearson_19_a_5a_a_a:Li-O-Te-V,3.1609,2.7874
wbm-1-26833,Mg2 Al2 Te5,A2B2C5_pearson_164_d_d_a2d:Al-Mg-Te,1.1878,0.68
wbm-1-15360,Na2 Gd2 F8,A4BC_pearson_141_f_a_b:F-Gd-Na,4.0976,4.16
mp-632657,Zr2 N2 Cl2,ABC_pearson_164_d_d_c:Cl-N-Zr,2.7461,3.0588
mp-771356,Li4 V3 Co1 O8,AB4C8D3_pearson_166_a_bd_ch_e:Co-Li-O-V,0.5617,1.1959
mp-698206,Ba10 Re6 O32,A5B16C3_pearson_185_bc_ac2d_c:Ba-O-Re,2.3057,0.5103
mp-1176581,Li4 Ti4 P8 O28,AB7C2D_pearson_15_f_7f_2f_f:Li-O-P-Ti,0.9033,0.2027
mp-1078415,Ca2 Fe2 S2 O2,ABCD_pearson_186_b_a_a_b:Ca-Fe-O-S,0.9843,1.1509
mp-26974,Cr2 P4 O14,AB7C2_pearson_4_a_7a_2a:Cr-O-P,0.6834,0.5233
mp-27565,K6 Ni4 O8,A3B2C4_pearson_63_cf_ac_h:K-Ni-O,0.1464,1.3828
mp-756583,Li4 V5 Cu1 Cl1 O15,ABC4D15E5_pearson_75_a_a_d_bc3d_bd:Cl-Cu-Li-O-V,0.3443,0.5665
mp-1221841,Mn2 Cr2 Co2 O8,ABCD4_pearson_74_a_c_e_hi:Co-Cr-Mn-O,0.8856,0.2045
wbm-1-20432,Sr1 V2 H2 O7,A2B7CD2_pearson_12_i_aij_b_i:H-O-Sr-V,1.6367,1.81
wbm-3-35698,K2 Tm2 Hg2 Se6,ABC3D_pearson_63_c_c_cf_a:Hg-K-Se-Tm,1.2775,1.27
mp-505076,Ga4 Ni8 B4 O20,ABC2D5_pearson_55_g_g_adh_3g2h:B-Ga-Ni-O,2.9458,3.0742
wbm-2-43022,K2 Zn1 Sn1 S4,A2B4CD_pearson_82_ac_g_b_d:K-S-Sn-Zn,2.0379,1.98
mp-20694,K4 Pb4 O6,A2B3C2_pearson_199_a_b_a:K-O-Pb,2.1495,1.9853
wbm-3-6770,Rb1 Ag2 As1 Se4,A2BCD4_pearson_121_d_a_b_i:Ag-As-Rb-Se,0.125,0.11
wbm-3-44099,Er2 Pt2 N6,AB3C_pearson_12_i_3i_i:Er-N-Pt,1.2562,1.18
mp-780893,Na12 V4 O14,A6B7C2_pearson_7_6a_7a_2a:Na-O-V,2.0654,0.9105
wbm-3-52328,Pr2 Ho2 O8,AB4C_pearson_8_2a_4b_2a:Ho-O-Pr,3.6493,2.73
wbm-3-9287,Cs4 K2 B2 As4,A2BC2D_pearson_12_2i_ac_2i_i:As-B-Cs-K,1.4125,1.38
mp-31250,Bi4 B4 O12,ABC3_pearson_14_e_e_3e:B-Bi-O,3.2701,3.0329
wbm-3-22391,Ce1 Lu1 F6,AB6C_pearson_225_a_e_b:Ce-F-Lu,0.4482,0.46
wbm-3-56224,Dy1 Fe1 Mo2 O8,ABC2D8_pearson_12_a_c_i_2ij:Dy-Fe-Mo-O,0.9163,0.36
wbm-2-24828,Li1 Sc1 S2,AB2C_pearson_164_a_d_b:Li-S-Sc,1.5881,1.36
mp-1520921,Ba2 Tb2 Eu2 Sb2 O12,ABC6DE_pearson_2_i_i_6i_ah_be:Ba-Eu-O-Sb-Tb,0.0678,0.0097
mp-542558,K4 U4 Cr4 O24,ABC6D_pearson_14_e_e_6e_e:Cr-K-O-U,1.6904,1.6883
mp-1103913,Rb4 V2 O9,A9B4C2_pearson_2_a4i_2i_i:O-Rb-V,2.9198,0.59
mp-560210,Ca4 H8 C8 O16,A2BC2D4_pearson_92_b_a_b_2b:C-Ca-H-O,4.826,4.6966
wbm-3-64191,Ba2 In2 Cu2 S6,ABCD3_pearson_63_c_c_a_cf:Ba-Cu-In-S,0.3853,0.35
wbm-2-30885,Na3 Eu3 Sb3,ABC_pearson_189_f_g_ad:Eu-Na-Sb,0.0275,0.08
wbm-4-28020,Sr1 Gd1 Ge2 O7,AB2C7D_pearson_5_a_c_b3c_a:Gd-Ge-O-Sr,2.7044,0.17
mp-1188652,Tm4 Ag4 Se8,AB2C_pearson_19_a_2a_a:Ag-Se-Tm,1.6065,1.7248
mp-1219640,Rb3 I2 Br1,AB2C3_pearson_71_a_e_cf:Br-I-Rb,3.4748,3.8666
mp-18435,Na4 Mo4 P8 O28,ABC7D2_pearson_14_e_e_7e_2e:Mo-Na-O-P,3.8235,3.2379
wbm-2-42646,K2 Th2 Cu2 S6,ABC3D_pearson_63_c_c_cf_a:Cu-K-S-Th,2.1475,2.03
mp-1199629,Ba4 Cd2 P8 H12 O32,A2BC6D16E4_pearson_14_e_a_3e_8e_2e:Ba-Cd-H-O-P,4.4792,4.4355
mp-1251411,Na4 Al4 H32 N16,AB8C4D_pearson_14_e_8e_4e_e:Al-H-N-Na,1.0849,0.3712
wbm-1-33651,Rb4 Na4 Se4,ABC_pearson_62_c_c_c:Na-Rb-Se,1.9245,1.96
wbm-1-40151,Y2 Ho2 O6,AB3C_pearson_194_c_bf_a:Ho-O-Y,3.2864,3.26
mp-1080269,Ce4 Se8,AB2_pearson_46_c_abc:Ce-Se,0.8245,1.0126
mp-23071,C8 Cl24 F8,AB3C_pearson_61_c_3c_c:C-Cl-F,3.9147,4.8988
mp-1224600,K10 Mn4 Sn4 S17,A10B4C17D4_pearson_160_a3b_ab_2a3bc_ab:K-Mn-S-Sn,0.9063,0.0213
mp-1195148,Na4 Mn4 H12 C12 O24,A3B3CDE6_pearson_198_b_b_a_a_2b:C-H-Mn-Na-O,2.9894,3.9589
wbm-2-43064,Rb3 Nb1 S4,AB3C4_pearson_217_a_b_c:Nb-Rb-S,2.4765,2.38
mp-569608,B4 P8 N8 Cl28,AB7C2D2_pearson_14_e_7e_2e_2e:B-Cl-N-P,3.6673,3.0652
mp-760462,Li5 Ti1 Si2 O8,A5B8C2D_pearson_5_a2bc_4c_c_a:Li-O-Si-Ti,0.3726,0.5447
wbm-2-34218,Pr2 Ir2 O6,AB3C_pearson_63_a_cf_c:Ir-O-Pr,0.7157,0.61
mp-1193223,Ba4 Tb8 S16,AB4C2_pearson_62_c_4c_2c:Ba-S-Tb,1.7721,1.7562
mp-22296,V10 Pb4 O24,A12B2C5_pearson_13_ef5g_g_e2g:O-Pb-V,1.6799,1.8291
wbm-1-22780,K6 As6 Se18,ABC3_pearson_152_c_c_3c:As-K-Se,0.5573,0.61
wbm-3-55611,Ba2 Hf2 O7,A2B2C7_pearson_12_h_i_aij:Ba-Hf-O,3.9653,0.52
mp-1080363,Ce16 Se32,AB2_pearson_135_i_ghi:Ce-Se,0.7899,1.0444
wbm-1-52571,Ba2 Dy2 Ag2 Se6,ABCD3_pearson_63_c_c_a_cf:Ag-Ba-Dy-Se,1.3349,1.32
wbm-2-34980,Sc1 Sb2 I1 O4,AB4C2D_pearson_123_a_i_h_b:I-O-Sb-Sc,1.1329,0.88
wbm-1-50312,Ca5 S7,A5B7_pearson_12_a2i_d3i:Ca-S,1.2901,2.02
wbm-1-48639,Ag1 As1 S2,ABC2_pearson_166_a_b_c:Ag-As-S,0.4748,0.28
mp-559910,Na8 Ho4 Mo4 P4 O32,ABC2D8E_pearson_73_c_d_f_4f_c:Ho-Mo-Na-O-P,4.1606,4.1948
wbm-2-36345,Sr1 Fe2 Sb2 O7,A2B7C2D_pearson_155_c_af_c_b:Fe-O-Sb-Sr,1.9109,2.32
mp-10233,Ca8 B4 N8 F4,AB2CD2_pearson_62_c_2c_c_2c:B-Ca-F-N,2.9564,2.9265
wbm-1-45834,K3 P1,A3B_pearson_225_ac_b:K-P,0.5646,0.8
mp-1227716,Ca3 Ga2 Ge4 O14,A3B2C4D14_pearson_5_ac_c_abc_7c:Ca-Ga-Ge-O,2.5267,3.0145
mp-1237438,Tc4 C16 N4 O16,A4BC4D_pearson_18_4c_ab_4c_c:C-N-O-Tc,2.0866,0.4117
wbm-3-57182,Sr2 Cd2 P2 O2,ABCD_pearson_164_d_d_c_d:Cd-O-P-Sr,0.4007,0.01
wbm-4-10276,Na2 Sm2 F8,A4BC_pearson_141_f_a_b:F-Na-Sm,6.7496,6.86
mp-985782,H8 C4,AB2_pearson_62_c_2c:C-H,4.3063,6.43
mp-636950,Mo8 P8 O44,A2B11C2_pearson_62_2c_7c2d_2c:Mo-O-P,1.3405,2.815
mp-1277563,Li8 Ti2 Ni6 O16,A4B3C8D_pearson_12_abe_cf_2ij_d:Li-Ni-O-Ti,0.0429,0.1775
wbm-3-64784,Sr2 Dy2 Ag2 S6,ABC3D_pearson_63_c_a_cf_c:Ag-Dy-S-Sr,1.7295,1.79
wbm-3-19109,Cs4 Hg1 Bi2,A2B4C_pearson_166_c_2c_a:Bi-Cs-Hg,0.3061,0.41
mp-1021504,Ba4 Nb2 Fe2 O12,A2BCD6_pearson_225_c_a_b_e:Ba-Fe-Nb-O,1.9089,1.7475
mp-1225337,Dy4 Mn1 S7,A4BC7_pearson_8_4a_a_7a:Dy-Mn-S,0.6112,0.4
wbm-1-19410,Sr4 Ge8,A2B_pearson_212_c_a:Ge-Sr,0.3135,0.04
wbm-1-40756,In1 Sb1 O4,AB4C_pearson_65_a_gj_c:In-O-Sb,0.2722,0.38
mp-753601,Li4 Mn2 F12,A6B2C_pearson_7_6a_2a_a:F-Li-Mn,1.8455,2.8169
wbm-1-10115,K4 Pt4 Cl12,A3BC_pearson_9_6a_2a_2a:Cl-K-Pt,1.9113,1.63
mp-555349,La12 C6 O30,AB2C5_pearson_15_ef_3f_e7f:C-La-O,3.9833,3.9406
mp-763057,Mn1 Co2 O6,A2BC6_pearson_12_i_a_3i:Co-Mn-O,0.1553,1.1777
wbm-3-54930,Sr2 Lu1 Ta1 O6,AB6C2D_pearson_12_a_ij_i_d:Lu-O-Sr-Ta,3.7262,1.1
wbm-3-56087,Ta2 V2 O7,A7B2C2_pearson_12_aij_h_i:O-Ta-V,0.4846,0.03
mp-1198056,Na8 Al8 Si8 O32,ABC4D_pearson_173_bc_ac_b5c_bc:Al-Na-O-Si,4.668,4.2845
mp-1217334,Te1 Mo2 S3,A2B3C_pearson_156_ab_a2b_a:Mo-S-Te,0.5658,0.4137
mp-758533,Li3 Sb1 P2 O8,A3B8C2D_pearson_12_ai_2ij_i_c:Li-O-P-Sb,3.3955,2.9136
mp-770653,Sr12 W8 O36,A9B3C2_pearson_62_5c2d_a2c_2c:O-Sr-W,3.7623,2.6749
wbm-1-20583,Rb2 H6 O4,A3B2C_pearson_15_ace_f_e:H-O-Rb,3.8198,4.28
wbm-1-45205,Cd2 P2 S7,A2B2C7_pearson_5_c_c_a3c:Cd-P-S,2.2215,2.35
mp-1200171,Cs12 V4 S16,A3B4C_pearson_62_cd_2cd_c:Cs-S-V,1.9053,1.9594
mp-1245344,Y16 Mn16 N32,AB2C_pearson_61_2c_4c_2c:Mn-N-Y,0.2409,0.0141
mp-1025626,Te4 Mo2 W1 Se2,A2B2C4D_pearson_156_ab_2a_4b_a:Mo-Se-Te-W,0.763,0.5132
mp-1194217,Al2 P6 N2 O20,ABC10D3_pearson_13_a_f_5g_eg:Al-N-O-P,0.3061,3.3385
mp-1227990,Ba1 H3 I1 O6,AB3CD6_pearson_1_a_3a_a_6a:Ba-H-I-O,1.9282,1.9605
mp-26481,Li6 Cr2 P4 O16,AB3C8D2_pearson_14_a_de_4e_e:Cr-Li-O-P,0.9169,2.7667
wbm-3-22325,Ba1 U1 F6,AB6C_pearson_225_a_e_b:Ba-F-U,0.2653,0.24
mp-504210,Mo2 P10 O30,AB15C5_pearson_11_a_3e6f_e2f:Mo-O-P,1.438,0.0522
mp-1104549,Na2 Re1 Cl6 O6,A6B2C6D_pearson_2_3i_i_3i_a:Cl-Na-O-Re,0.6018,0.0062
mp-571011,Cs4 I16,AB4_pearson_14_e_4e:Cs-I,1.8853,1.7847
wbm-4-27328,Sr2 Gd1 P1 O6,AB6CD2_pearson_12_a_ij_d_i:Gd-O-P-Sr,2.9698,3.18
wbm-3-52465,Sm1 Tm1 O4,A4BC_pearson_12_2i_a_d:O-Sm-Tm,2.0342,2.01
mp-1196471,Cs8 Co6 F20,A3B4C10_pearson_64_af_2f_e2fg:Co-Cs-F,1.6016,2.4139
wbm-2-35825,Na1 Cu1 Cl1 O6,ABCD6_pearson_5_a_a_b_3c:Cl-Cu-Na-O,0.1299,0.15
wbm-1-49664,K4 Mn2 S6,A2BC3_pearson_63_g_c_ce:K-Mn-S,0.1756,0.21
wbm-1-25068,Cs2 Li1 In1 F6,A2B6CD_pearson_164_d_i_a_b:Cs-F-In-Li,5.1673,5.43
mp-1097860,Ti4 O8,A2B_pearson_74_hi_ae:O-Ti,1.7653,1.7795
wbm-1-36556,Ce2 O4,AB2_pearson_141_a_e:Ce-O,1.8689,1.68
mp-1009127,Mg1 O1,AB_pearson_221_a_b:Mg-O,3.4665,2.9211
mp-30034,Mg1 Br2,A2B_pearson_164_d_a:Br-Mg,4.4057,4.4603
wbm-1-10332,Zr2 Cl6,A3B_pearson_12_ij_g:Cl-Zr,0.1688,0.4
mp-551456,Ba2 Cu1 Cl1 O2,A2BCD2_pearson_166_c_a_b_c:Ba-Cl-Cu-O,2.3089,2.3107
mp-510018,Rb4 Cu2 H24 Se4 O28,AB12C14D2E2_pearson_14_a_6e_7e_e_e:Cu-H-O-Rb-Se,0.7933,0.544
mp-10572,Na2 P2 N4,A2BC_pearson_122_d_a_b:N-Na-P,3.7999,4.8677
wbm-1-16418,Cs1 V1 F6,AB6C_pearson_148_a_f_b:Cs-F-V,3.0064,3.27
wbm-1-53022,Pb2 Se2,AB_pearson_194_a_c:Pb-Se,0.8388,0.1
wbm-4-34339,Cs4 Ce2 Se6,AB2C3_pearson_63_c_g_ce:Ce-Cs-Se,0.8582,0.87
wbm-4-12758,Rb2 Fe2 Au2 Se4,ABCD2_pearson_67_c_b_g_m:Au-Fe-Rb-Se,0.0722,0.15
mp-758172,Li8 Ni6 O4 F12,A6B4C3D2_pearson_2_3i_2i_ai_i:F-Li-Ni-O,3.5038,3.5431
mp-13326,Pr2 Lu2 Se6,ABC3_pearson_63_a_c_cf:Lu-Pr-Se,0.5361,0.525
wbm-1-49400,Zr1 S2,A2B_pearson_160_2a_a:S-Zr,0.714,0.68
mp-557107,Ni4 B16 O28,A4BC7_pearson_63_eg_c_cgh:B-Ni-O,3.8492,3.3784
mp-1097574,Ba2 Hg1 Ge1,A2BC_pearson_71_e_a_b:Ba-Ge-Hg,0.108,0.18
mp-1203396,Rb8 Pd4 C16 N16 O4,A4B4CDE2_pearson_52_2e_2e_d_a_cd:C-N-O-Pd-Rb,3.0475,0.0408
wbm-1-20372,Hg2 H4 O4,A2BC2_pearson_1_4a_2a_4a:H-Hg-O,0.8479,1.74
mp-1204299,Na8 Gd4 Mn4 As8 O36,A2BCD2E9_pearson_14_2e_e_ab_2e_9e:As-Gd-Mn-Na-O,2.0306,1.4381
mp-41219,Ba1 Li1 Pr1 Te1 O6,ABC6DE_pearson_216_c_a_f_d_b:Ba-Li-O-Pr-Te,3.1093,3.1382
wbm-3-44057,Ho2 Cr2 N6,ABC3_pearson_2_i_i_3i:Cr-Ho-N,0.2916,0.31
mp-560997,K8 V8 F32,A4BC_pearson_62_2c3d_2c_d:F-K-V,2.1171,1.9296
mp-1096189,Li1 In1 Cu2,A2BC_pearson_71_e_a_b:Cu-In-Li,0.0318,1.0218
wbm-2-24825,Rb1 Li1 Cd1 S2,ABCD2_pearson_119_a_b_c_f:Cd-Li-Rb-S,1.9477,1.96
mp-18759,Mn6 O8,A3B4_pearson_141_ad_h:Mn-O,0.5324,0.8357
mp-850918,Li2 Mn5 P4 O16,A2B5C16D4_pearson_2_i_a2i_8i_2i:Li-Mn-O-P,1.0701,3.098
wbm-1-3337,Te1 As2 Se2,A2B2C_pearson_160_2a_2a_a:As-Se-Te,0.3744,0.55
wbm-3-33632,Yb4 I8,A2B_pearson_62_2c_c:I-Yb,3.3307,3.85
wbm-4-27301,Zr2 Ni1 W1 O6,AB6CD2_pearson_12_a_ij_d_i:Ni-O-W-Zr,0.4157,0.52
wbm-1-20400,Mn4 H2 O5,A2B4C5_pearson_164_d_cd_a2d:H-Mn-O,0.5623,0.52
mp-8314,Cs4 Na2 As2 O8,AB2CD4_pearson_11_e_2e_e_2ef:As-Cs-Na-O,3.4888,3.5424
wbm-4-20305,K2 Mg1 Si1 S4,A2BC4D_pearson_121_c_a_i_b:K-Mg-S-Si,3.1858,3.57
wbm-4-3868,Yb2 B2 Ru1 O6,A2B6CD2_pearson_12_i_ij_a_i:B-O-Ru-Yb,0.8395,1.17
mp-1264854,Mg6 Si8 Bi4 O28,A2B3C14D4_pearson_15_ae_ef_7f_2f:Bi-Mg-O-Si,2.7047,2.6637
mp-757031,Mg8 Ti4 O16,A2B4C_pearson_91_ac_2d_b:Mg-O-Ti,3.0589,3.3894
wbm-3-39754,Rb2 Mg2 Ag2 S6,ABCD3_pearson_11_e_e_e_3e:Ag-Mg-Rb-S,1.3201,1.3
wbm-3-50931,Yb2 Dy2 O6,AB3C_pearson_12_e_ghi_i:Dy-O-Yb,0.1298,0.24
mp-1001780,Lu1 Cu1 S2,ABC2_pearson_156_a_b_ac:Cu-Lu-S,1.3312,1.5031
wbm-1-2688,Al1 Ag1 Se2,ABC2_pearson_156_a_b_ac:Ag-Al-Se,1.1168,0.85
wbm-2-476,Al2 Pd1 Cl8,A2B8C_pearson_12_i_2ij_a:Al-Cl-Pd,1.6884,1.62
wbm-2-23897,Cs1 Li2 Rh1,AB2C_pearson_216_a_bc_d:Cs-Li-Rh,0.041,0.12
wbm-5-4218,Ga2 Te2 Cl2,ABC_pearson_12_i_i_i:Cl-Ga-Te,1.949,1.48
mp-1105583,Er7 Co1 I12,AB7C12_pearson_148_a_bf_2f:Co-Er-I,0.2571,0.456
mp-558636,Ca2 Al4 O8,A2BC4_pearson_11_2e_e_4e:Al-Ca-O,4.4503,4.9805
mp-1520374,K1 Tb1 Sn1 W1 O6,AB6CDE_pearson_216_c_f_d_a_b:K-O-Sn-Tb-W,2.3319,2.4964
wbm-2-30373,Na1 Al1 S2,ABC2_pearson_164_a_b_d:Al-Na-S,2.5873,2.73
wbm-4-28242,Nd1 V1 P2 O8,AB8C2D_pearson_5_a_4c_c_b:Nd-O-P-V,2.135,2.28
wbm-2-15174,K2 Tb2 F8,A4BC_pearson_141_f_a_b:F-K-Tb,6.792,6.93
wbm-4-25390,Ho1 Pa1 O4,AB4C_pearson_166_a_2c_b:Ho-O-Pa,3.2679,3.26
mp-768539,Al4 Tl4 O12,AB3C_pearson_62_a_cd_c:Al-O-Tl,0.4528,0.7377
wbm-1-36362,In4 Ag4 O8,ABC2_pearson_33_a_a_2a:Ag-In-O,0.4016,0.09
wbm-1-31295,Ti1 As1 N3,AB3C_pearson_38_a_bd_b:As-N-Ti,0.2607,0.57
mp-3810,Hg1 As2 O6,A2BC6_pearson_162_c_b_k:As-Hg-O,1.6633,0.7405
mp-1105170,Sn6 Br12,A2B_pearson_176_2h_h:Br-Sn,2.3588,2.4179
mp-1517046,Sr1 Ca1 Dy1 Sb1 O6,ABC6DE_pearson_216_c_a_f_b_d:Ca-Dy-O-Sb-Sr,3.2711,3.3225
mp-16813,B4 S16 N16 F12,AB3C4D4_pearson_14_e_3e_4e_4e:B-F-N-S,1.2861,1.9526
mp-7844,Mg6 As4,A2B3_pearson_224_b_d:As-Mg,1.411,1.3195
wbm-4-28066,Er1 Sc1 Ge2 O7,AB2C7D_pearson_5_a_c_b3c_a:Er-Ge-O-Sc,4.0539,3.97
mp-554147,Rb4 Nb4 P4 S22,A2B2C2D11_pearson_11_f_2e_2e_7e2f:Nb-P-Rb-S,0.1752,1.1396
mp-1256030,Mg8 Si8 O24,AB3C_pearson_62_d_a3cd_d:Mg-O-Si,0.0545,1.0261
mp-35735,Gd8 Zr8 O28,A2B7C2_pearson_53_acg_3h2i_bdg:Gd-O-Zr,2.9225,2.0229
wbm-1-10776,Cs2 As1 Cl7,AB7C2_pearson_225_a_be_c:As-Cl-Cs,1.1669,0.31
wbm-3-65507,S4 I4,AB_pearson_2_2i_2i:I-S,1.3391,1.4
wbm-1-37797,V4 S2 O4,A2BC2_pearson_194_f_b_f:O-S-V,0.4196,0.79
mp-756470,K4 Dy2 P2 C2 O14,ABC2D7E_pearson_11_e_e_f_5ef_e:C-Dy-K-O-P,4.2978,4.4189
mp-504338,Ni2 P6 O18,AB9C3_pearson_2_i_9i_3i:Ni-O-P,0.4447,0.2961
mp-1197849,Na12 B8 P4 O20 F16,A2B4C3D5E_pearson_14_2e_4e_3e_5e_e:B-F-Na-O-P,5.5082,5.6081
wbm-1-43542,Tl1 Ga1 Mo2 O8,AB2C8D_pearson_164_a_d_di_b:Ga-Mo-O-Tl,3.9206,3.89
mp-752792,Mn2 V8 O24,AB12C4_pearson_5_a_6c_2c:Mn-O-V,2.0,0.9257
mp-1247563,Na12 Co4 N8,AB2C3_pearson_141_e_h_eg:Co-N-Na,0.161,0.3482
wbm-1-10700,Rb2 Ce1 Cl6,AB6C2_pearson_225_a_e_c:Ce-Cl-Rb,1.9544,1.71
mp-1192384,Dy4 W4 Br4 O16,ABC4D_pearson_2_2i_2i_8i_2i:Br-Dy-O-W,2.9322,2.8497
mp-1036069,Mg14 Mn1 Cd1 O16,AB14CD16_pearson_123_a_fjmo_c_bdekln:Cd-Mg-Mn-O,0.5441,1.5676
mp-1228102,Ba4 Ge2 Te5 Se3,A4B2C3D5_pearson_1_4a_2a_3a_5a:Ba-Ge-Se-Te,0.6928,0.7326
wbm-1-50151,Rb2 Ru3 S4,A2B3C4_pearson_69_g_ac_n:Rb-Ru-S,0.4992,0.18
